Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),Var1,Var2,Var3,Country,"Concrete compressive strength(MPa, megapascals) "
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,2,0,2,Brazil,51.33
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,1,0,3,Brazil,56.85
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,1,1,2,Brazil,58.61
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,1,1,2,Brazil,21.91
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,2,0,3,Brazil,36.99
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,1,0,3,Brazil,47.4
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,2,0,3,Brazil,51.96
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,2,0,2,Brazil,56.74
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,2,0,3,Brazil,17.57
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,2,1,2,Brazil,33.73
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,2,1,3,Brazil,40.15
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,1,0,3,Brazil,46.64
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,1,1,2,Brazil,50.08
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,1,1,3,Brazil,17.37
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,1,1,2,Brazil,33.7
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,1,0,2,Brazil,45.94
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,2,0,3,Brazil,51.43
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,1,0,3,Brazil,59.3
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,1,1,3,Brazil,30.45
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,1,1,3,Brazil,47.71
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,2,0,2,Brazil,63.14
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,1,1,3,Brazil,66.82
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,1,0,3,Brazil,66.95
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,1,0,3,Brazil,27.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,1,0,3,Brazil,35.96
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,1,1,3,Brazil,55.51
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,1,1,2,Brazil,61.99
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,1,1,3,Brazil,63.53
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,1,1,3,Brazil,18.02
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,1,0,3,Brazil,38.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,2,0,2,Brazil,52.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,2,1,2,Brazil,53.96
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,1,1,2,Brazil,56.63
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,2,0,3,Brazil,15.34
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,1,1,3,Brazil,26.05
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,2,0,2,Brazil,30.22
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,1,1,3,Brazil,37.27
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,1,1,3,Brazil,46.23
376,0,0,214.6,0,1003.5,762.4,3,2,1,2,Brazil,16.28
376,0,0,214.6,0,1003.5,762.4,14,1,1,2,Brazil,25.62
376,0,0,214.6,0,1003.5,762.4,28,2,0,2,Brazil,31.97
376,0,0,214.6,0,1003.5,762.4,56,2,1,2,Brazil,36.3
376,0,0,214.6,0,1003.5,762.4,100,1,0,2,Brazil,43.06
500,0,0,140,4,966,853,28,2,0,2,Brazil,67.57
475,0,59,142,1.9,1098,641,28,2,1,2,Brazil,57.23
315,137,0,145,5.9,1130,745,28,1,1,2,Brazil,81.75
505,0,60,195,0,1030,630,28,2,1,3,Brazil,64.02
451,0,0,165,11.3,1030,745,28,1,0,2,Brazil,78.8
516,0,0,162,8.2,801,802,28,2,1,2,Brazil,41.37
520,0,0,170,5.2,855,855,28,2,0,2,Brazil,60.28
528,0,0,185,6.9,920,720,28,2,0,3,Brazil,56.83
520,0,0,175,5.2,870,805,28,1,0,3,Brazil,51.02
385,0,136,158,20,903,768,28,1,0,3,Brazil,55.55
500.1,0,0,200,3,1124.4,613.2,28,1,1,3,Brazil,44.13
450.1,50,0,200,3,1124.4,613.2,28,2,1,3,Brazil,39.38
397,17.2,158,167,20.8,967,633,28,2,1,2,Brazil,55.65
333,17.5,163,167,17.9,996,652,28,1,1,2,Brazil,47.28
334,17.6,158,189,15.3,967,633,28,2,1,3,Brazil,44.33
405,0,0,175,0,1120,695,28,2,1,3,Brazil,52.3
200,200,0,190,0,1145,660,28,2,0,2,Brazil,49.25
516,0,0,162,8.3,801,802,28,2,0,2,Brazil,41.37
145,116,119,184,5.7,833,880,28,2,0,3,Brazil,29.16
160,128,122,182,6.4,824,879,28,1,0,2,Brazil,39.4
234,156,0,189,5.9,981,760,28,1,1,3,Brazil,39.3
250,180,95,159,9.5,860,800,28,1,0,2,Brazil,67.87
475,0,0,162,9.5,1044,662,28,2,1,3,Brazil,58.52
285,190,0,163,7.6,1031,685,28,1,1,3,Brazil,53.58
356,119,0,160,9,1061,657,28,2,1,2,Brazil,59
275,180,120,162,10.4,830,765,28,1,0,3,Brazil,76.24
500,0,0,151,9,1033,655,28,1,1,2,Brazil,69.84
165,0,143.6,163.8,0,1005.6,900.9,3,2,1,3,Brazil,14.4
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,1,0,2,Brazil,19.42
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,1,1,3,Brazil,20.73
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,2,0,2,Brazil,14.94
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,2,1,3,Brazil,21.29
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,2,1,2,Brazil,23.08
167,75.4,167,164,7.9,1007.3,770.1,3,1,1,3,Brazil,15.52
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,1,1,2,Brazil,15.82
190.3,0,125.2,166.6,9.9,1079,798.9,3,1,0,2,Brazil,12.55
250,0,95.7,191.8,5.3,948.9,857.2,3,2,0,2,Brazil,8.49
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,1,0,3,Brazil,15.61
194.7,0,100.5,170.2,7.5,998,901.8,3,2,1,3,Brazil,12.18
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,2,0,3,Brazil,11.98
165,0,143.6,163.8,0,1005.6,900.9,14,1,0,3,Brazil,16.88
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,2,1,2,Brazil,33.09
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,1,1,2,Brazil,34.24
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,1,1,3,Brazil,31.81
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,2,0,2,Brazil,29.75
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,1,0,2,Brazil,33.01
167,75.4,167,164,7.9,1007.3,770.1,14,2,1,2,Brazil,32.9
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,2,0,2,Brazil,29.55
190.3,0,125.2,166.6,9.9,1079,798.9,14,2,1,2,Brazil,19.42
250,0,95.7,191.8,5.3,948.9,857.2,14,1,0,3,Brazil,24.66
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,1,1,2,Brazil,29.59
194.7,0,100.5,170.2,7.5,998,901.8,14,1,0,3,Brazil,24.28
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,1,0,2,Brazil,20.73
165,0,143.6,163.8,0,1005.6,900.9,28,2,0,3,Brazil,26.2
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,1,0,3,Brazil,46.39
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,2,1,3,Brazil,39.16
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,2,0,2,Brazil,41.2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,1,0,2,Brazil,33.69
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,2,0,2,Brazil,38.2
167,75.4,167,164,7.9,1007.3,770.1,28,1,0,3,Brazil,41.41
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,2,1,3,Brazil,37.81
190.3,0,125.2,166.6,9.9,1079,798.9,28,1,1,3,Brazil,24.85
250,0,95.7,191.8,5.3,948.9,857.2,28,1,1,2,Brazil,27.22
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,2,0,3,Brazil,44.64
194.7,0,100.5,170.2,7.5,998,901.8,28,1,0,2,Brazil,37.27
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,2,1,3,Brazil,33.27
165,0,143.6,163.8,0,1005.6,900.9,56,2,0,2,Brazil,36.56
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,1,0,2,Brazil,53.72
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,1,0,2,Brazil,48.59
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,2,1,2,Brazil,51.72
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,2,0,3,Brazil,35.85
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,2,0,3,Brazil,53.77
167,75.4,167,164,7.9,1007.3,770.1,56,1,0,3,Brazil,53.46
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,2,0,2,Brazil,48.99
190.3,0,125.2,166.6,9.9,1079,798.9,56,2,0,3,Brazil,31.72
250,0,95.7,191.8,5.3,948.9,857.2,56,2,1,3,Brazil,39.64
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,1,0,2,Brazil,51.26
194.7,0,100.5,170.2,7.5,998,901.8,56,2,0,3,Brazil,43.39
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,2,0,2,Brazil,39.27
165,0,143.6,163.8,0,1005.6,900.9,100,2,1,2,Brazil,37.96
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,1,1,3,Brazil,55.02
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,1,0,2,Brazil,49.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,1,1,3,Brazil,53.66
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,2,1,3,Brazil,37.68
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,2,1,2,Brazil,56.06
167,75.4,167,164,7.9,1007.3,770.1,100,2,0,2,Brazil,56.81
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,2,1,2,Brazil,50.94
190.3,0,125.2,166.6,9.9,1079,798.9,100,1,0,2,Brazil,33.56
250,0,95.7,191.8,5.3,948.9,857.2,100,2,1,2,Brazil,41.16
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,1,0,2,Brazil,52.96
194.7,0,100.5,170.2,7.5,998,901.8,100,1,1,3,Brazil,44.28
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,1,1,3,Brazil,40.15
446,24,79,162,11.6,967,712,28,1,0,2,Brazil,57.03
446,24,79,162,11.6,967,712,28,2,0,2,Brazil,44.42
446,24,79,162,11.6,967,712,28,2,1,2,Brazil,51.02
446,24,79,162,10.3,967,712,28,2,1,2,Brazil,53.39
446,24,79,162,11.6,967,712,3,1,1,3,Brazil,35.36
446,24,79,162,11.6,967,712,3,1,1,3,Brazil,25.02
446,24,79,162,11.6,967,712,3,1,1,2,Brazil,23.35
446,24,79,162,11.6,967,712,7,1,1,3,Brazil,52.01
446,24,79,162,11.6,967,712,7,2,0,3,Brazil,38.02
446,24,79,162,11.6,967,712,7,1,1,2,Brazil,39.3
446,24,79,162,11.6,967,712,56,1,0,2,Brazil,61.07
446,24,79,162,11.6,967,712,56,2,1,3,Brazil,56.14
446,24,79,162,11.6,967,712,56,2,0,3,Brazil,55.25
446,24,79,162,10.3,967,712,56,2,1,3,Brazil,54.77
387,20,94,157,14.3,938,845,28,1,0,2,Brazil,50.24
387,20,94,157,13.9,938,845,28,1,0,3,Brazil,46.68
387,20,94,157,11.6,938,845,28,1,1,3,Brazil,46.68
387,20,94,157,14.3,938,845,3,2,1,2,Brazil,22.75
387,20,94,157,13.9,938,845,3,2,1,2,Brazil,25.51
387,20,94,157,11.6,938,845,3,2,1,3,Brazil,34.77
387,20,94,157,14.3,938,845,7,2,1,3,Brazil,36.84
387,20,94,157,13.9,938,845,7,1,1,3,Brazil,45.9
387,20,94,157,11.6,938,845,7,2,1,2,Brazil,41.67
387,20,94,157,14.3,938,845,56,1,1,2,Brazil,56.34
387,20,94,157,13.9,938,845,56,1,0,3,Brazil,47.97
387,20,94,157,11.6,938,845,56,1,0,3,Brazil,61.46
355,19,97,145,13.1,967,871,28,1,0,3,Brazil,44.03
355,19,97,145,12.3,967,871,28,1,1,2,Brazil,55.45
491,26,123,210,3.9,882,699,28,2,0,3,Brazil,55.55
491,26,123,201,3.9,822,699,28,2,1,3,Brazil,57.92
491,26,123,210,3.9,882,699,3,2,0,3,Brazil,25.61
491,26,123,210,3.9,882,699,7,1,1,3,Brazil,33.49
491,26,123,210,3.9,882,699,56,1,0,3,Brazil,59.59
491,26,123,201,3.9,822,699,3,2,0,2,Brazil,29.55
491,26,123,201,3.9,822,699,7,1,0,2,Brazil,37.92
491,26,123,201,3.9,822,699,56,1,0,2,Brazil,61.86
424,22,132,178,8.5,822,750,28,2,1,3,Brazil,62.05
424,22,132,178,8.5,882,750,3,2,1,3,Brazil,32.01
424,22,132,168,8.9,822,750,28,2,0,3,Brazil,72.1
424,22,132,178,8.5,822,750,7,1,1,3,Brazil,39
424,22,132,178,8.5,822,750,56,2,0,3,Brazil,65.7
424,22,132,168,8.9,822,750,3,2,1,3,Brazil,32.11
424,22,132,168,8.9,822,750,7,1,0,2,Brazil,40.29
424,22,132,168,8.9,822,750,56,2,1,2,Brazil,74.36
202,11,141,206,1.7,942,801,28,1,0,2,Brazil,21.97
202,11,141,206,1.7,942,801,3,1,0,3,Brazil,9.85
202,11,141,206,1.7,942,801,7,2,1,3,Brazil,15.07
202,11,141,206,1.7,942,801,56,1,1,2,Brazil,23.25
284,15,141,179,5.5,842,801,28,2,0,2,Brazil,43.73
284,15,141,179,5.5,842,801,3,1,1,3,Brazil,13.4
284,15,141,179,5.5,842,801,7,2,0,2,Brazil,24.13
284,15,141,179,5.5,842,801,56,2,1,2,Brazil,44.52
359,19,141,154,10.9,942,801,28,1,1,3,Brazil,62.94
359,19,141,154,10.9,942,801,28,1,1,3,Brazil,59.49
359,19,141,154,10.9,942,801,3,2,1,3,Brazil,25.12
359,19,141,154,10.9,942,801,3,2,1,3,Brazil,23.64
359,19,141,154,10.9,942,801,7,1,1,2,Brazil,35.75
359,19,141,154,10.9,942,801,7,1,0,3,Brazil,38.61
359,19,141,154,10.9,942,801,56,2,0,2,Brazil,68.75
359,19,141,154,10.9,942,801,56,1,1,3,Brazil,66.78
436,0,0,218,0,838.4,719.7,28,1,0,3,Brazil,23.85
289,0,0,192,0,913.2,895.3,90,1,0,3,Brazil,32.07
289,0,0,192,0,913.2,895.3,3,1,0,3,Brazil,11.65
393,0,0,192,0,940.6,785.6,3,2,1,2,Brazil,19.2
393,0,0,192,0,940.6,785.6,90,1,1,3,Brazil,48.85
393,0,0,192,0,940.6,785.6,28,2,0,2,Brazil,39.6
480,0,0,192,0,936.2,712.2,28,1,1,2,Brazil,43.94
480,0,0,192,0,936.2,712.2,7,2,1,3,Brazil,34.57
480,0,0,192,0,936.2,712.2,90,2,0,2,Brazil,54.32
480,0,0,192,0,936.2,712.2,3,2,1,3,Brazil,24.4
333,0,0,192,0,931.2,842.6,3,2,0,2,Spain,15.62
255,0,0,192,0,889.8,945,90,2,1,2,Spain,21.86
255,0,0,192,0,889.8,945,7,1,1,3,Spain,10.22
289,0,0,192,0,913.2,895.3,7,2,1,3,Spain,14.6
255,0,0,192,0,889.8,945,28,1,0,3,Spain,18.75
333,0,0,192,0,931.2,842.6,28,1,0,2,Spain,31.97
333,0,0,192,0,931.2,842.6,7,1,0,2,Spain,23.4
289,0,0,192,0,913.2,895.3,28,2,1,2,Spain,25.57
333,0,0,192,0,931.2,842.6,90,1,1,3,Spain,41.68
393,0,0,192,0,940.6,785.6,7,2,1,2,Spain,27.74
255,0,0,192,0,889.8,945,3,2,1,3,Spain,8.2
158.8,238.2,0,185.7,0,1040.6,734.3,7,1,1,2,Spain,9.62
239.6,359.4,0,185.7,0,941.6,664.3,7,2,0,2,Spain,25.42
238.2,158.8,0,185.7,0,1040.6,734.3,7,1,0,2,Spain,15.69
181.9,272.8,0,185.7,0,1012.4,714.3,28,1,0,3,Spain,27.94
193.5,290.2,0,185.7,0,998.2,704.3,28,1,1,3,Spain,32.63
255.5,170.3,0,185.7,0,1026.6,724.3,7,1,1,3,Spain,17.24
272.8,181.9,0,185.7,0,1012.4,714.3,7,2,0,3,Spain,19.77
239.6,359.4,0,185.7,0,941.6,664.3,28,1,0,2,Spain,39.44
220.8,147.2,0,185.7,0,1055,744.3,28,1,1,3,Spain,25.75
397,0,0,185.7,0,1040.6,734.3,28,1,1,3,Spain,33.08
382.5,0,0,185.7,0,1047.8,739.3,7,2,1,2,Spain,24.07
210.7,316.1,0,185.7,0,977,689.3,7,2,1,3,Spain,21.82
158.8,238.2,0,185.7,0,1040.6,734.3,28,2,0,2,Spain,21.07
295.8,0,0,185.7,0,1091.4,769.3,7,2,1,2,Spain,14.84
255.5,170.3,0,185.7,0,1026.6,724.3,28,2,0,3,Spain,32.05
203.5,135.7,0,185.7,0,1076.2,759.3,7,2,1,3,Spain,11.96
397,0,0,185.7,0,1040.6,734.3,7,2,0,3,Spain,25.45
381.4,0,0,185.7,0,1104.6,784.3,28,2,1,3,Spain,22.49
295.8,0,0,185.7,0,1091.4,769.3,28,2,1,2,Spain,25.22
228,342.1,0,185.7,0,955.8,674.3,28,2,1,2,Spain,39.7
220.8,147.2,0,185.7,0,1055,744.3,7,1,0,3,Spain,13.09
316.1,210.7,0,185.7,0,977,689.3,28,1,0,2,Spain,38.7
135.7,203.5,0,185.7,0,1076.2,759.3,7,1,1,2,Spain,7.51
238.1,0,0,185.7,0,1118.8,789.3,28,2,0,3,Spain,17.58
339.2,0,0,185.7,0,1069.2,754.3,7,1,1,2,Spain,21.18
135.7,203.5,0,185.7,0,1076.2,759.3,28,1,0,2,Spain,18.2
193.5,290.2,0,185.7,0,998.2,704.3,7,1,0,2,Spain,17.2
203.5,135.7,0,185.7,0,1076.2,759.3,28,1,1,2,Spain,22.63
290.2,193.5,0,185.7,0,998.2,704.3,7,2,0,3,Spain,21.86
181.9,272.8,0,185.7,0,1012.4,714.3,7,1,1,2,Spain,12.37
170.3,155.5,0,185.7,0,1026.6,724.3,28,1,0,3,Spain,25.73
210.7,316.1,0,185.7,0,977,689.3,28,1,0,3,Spain,37.81
228,342.1,0,185.7,0,955.8,674.3,7,2,1,3,Spain,21.92
290.2,193.5,0,185.7,0,998.2,704.3,28,1,0,2,Spain,33.04
381.4,0,0,185.7,0,1104.6,784.3,7,2,0,2,Spain,14.54
238.2,158.8,0,185.7,0,1040.6,734.3,28,2,0,3,Spain,26.91
186.2,124.1,0,185.7,0,1083.4,764.3,7,1,0,3,Spain,8
339.2,0,0,185.7,0,1069.2,754.3,28,1,0,2,Spain,31.9
238.1,0,0,185.7,0,1118.8,789.3,7,2,1,3,Spain,10.34
252.5,0,0,185.7,0,1111.6,784.3,28,2,1,3,Spain,19.77
382.5,0,0,185.7,0,1047.8,739.3,28,2,0,2,Spain,37.44
252.5,0,0,185.7,0,1111.6,784.3,7,2,0,3,Spain,11.48
316.1,210.7,0,185.7,0,977,689.3,7,2,0,2,Spain,24.44
186.2,124.1,0,185.7,0,1083.4,764.3,28,2,0,3,Spain,17.6
170.3,155.5,0,185.7,0,1026.6,724.3,7,2,0,2,Spain,10.73
272.8,181.9,0,185.7,0,1012.4,714.3,28,1,1,2,Spain,31.38
339,0,0,197,0,968,781,3,1,0,3,Spain,13.22
339,0,0,197,0,968,781,7,2,1,3,Spain,20.97
339,0,0,197,0,968,781,14,2,1,3,Spain,27.04
339,0,0,197,0,968,781,28,2,0,2,Spain,32.04
339,0,0,197,0,968,781,90,1,0,2,Spain,35.17
339,0,0,197,0,968,781,180,2,1,3,Spain,36.45
339,0,0,197,0,968,781,365,2,1,3,Spain,38.89
236,0,0,194,0,968,885,3,2,0,2,Spain,6.47
236,0,0,194,0,968,885,14,2,1,3,Spain,12.84
236,0,0,194,0,968,885,28,2,0,2,Spain,18.42
236,0,0,194,0,968,885,90,1,0,2,Spain,21.95
236,0,0,193,0,968,885,180,2,0,3,Spain,24.1
236,0,0,193,0,968,885,365,2,0,3,Spain,25.08
277,0,0,191,0,968,856,14,2,1,2,Spain,21.26
277,0,0,191,0,968,856,28,1,0,2,Spain,25.97
277,0,0,191,0,968,856,3,2,0,3,Spain,11.36
277,0,0,191,0,968,856,90,1,0,3,Spain,31.25
277,0,0,191,0,968,856,180,2,1,3,Spain,32.33
277,0,0,191,0,968,856,360,2,0,2,Spain,33.7
254,0,0,198,0,968,863,3,2,0,3,Spain,9.31
254,0,0,198,0,968,863,90,2,0,2,Spain,26.94
254,0,0,198,0,968,863,180,1,1,3,Spain,27.63
254,0,0,198,0,968,863,365,2,0,2,Spain,29.79
307,0,0,193,0,968,812,180,1,1,2,Spain,34.49
307,0,0,193,0,968,812,365,2,0,2,Spain,36.15
307,0,0,193,0,968,812,3,1,0,2,Spain,12.54
307,0,0,193,0,968,812,28,1,0,2,Spain,27.53
307,0,0,193,0,968,812,90,2,1,2,Spain,32.92
236,0,0,193,0,968,885,7,2,1,3,Spain,9.99
200,0,0,180,0,1125,845,7,2,1,3,Spain,7.84
200,0,0,180,0,1125,845,28,1,0,3,Spain,12.25
225,0,0,181,0,1113,833,7,2,0,2,Spain,11.17
225,0,0,181,0,1113,833,28,2,1,2,Spain,17.34
325,0,0,184,0,1063,783,7,1,1,2,Spain,17.54
325,0,0,184,0,1063,783,28,1,0,2,Spain,30.57
275,0,0,183,0,1088,808,7,1,1,2,Spain,14.2
275,0,0,183,0,1088,808,28,2,1,2,Spain,24.5
300,0,0,184,0,1075,795,7,1,0,3,Spain,15.58
300,0,0,184,0,1075,795,28,1,1,3,Spain,26.85
375,0,0,186,0,1038,758,7,1,1,3,Spain,26.06
375,0,0,186,0,1038,758,28,1,1,2,Spain,38.21
400,0,0,187,0,1025,745,28,2,1,3,Spain,43.7
400,0,0,187,0,1025,745,7,2,0,2,Spain,30.14
250,0,0,182,0,1100,820,7,1,1,2,Spain,12.73
250,0,0,182,0,1100,820,28,1,0,3,Spain,20.87
350,0,0,186,0,1050,770,7,2,0,3,Spain,20.28
350,0,0,186,0,1050,770,28,1,1,3,Spain,34.29
203.5,305.3,0,203.5,0,963.4,630,7,2,1,3,Spain,19.54
250.2,166.8,0,203.5,0,977.6,694.1,90,2,0,3,Spain,47.71
157,236,0,192,0,935.4,781.2,90,2,1,3,Spain,43.38
141.3,212,0,203.5,0,971.8,748.5,28,2,1,3,Spain,29.89
166.8,250.2,0,203.5,0,975.6,692.6,3,1,1,3,Spain,6.9
122.6,183.9,0,203.5,0,958.2,800.1,90,2,0,3,Spain,33.19
183.9,122.6,0,203.5,0,959.2,800,3,1,0,3,Spain,4.9
102,153,0,192,0,887,942,3,2,0,2,Spain,4.57
102,153,0,192,0,887,942,90,2,0,3,Spain,25.46
122.6,183.9,0,203.5,0,958.2,800.1,28,2,1,2,Spain,24.29
166.8,250.2,0,203.5,0,975.6,692.6,28,2,0,3,Spain,33.95
200,133,0,192,0,965.4,806.2,3,1,1,2,Spain,11.41
108.3,162.4,0,203.5,0,938.2,849,28,2,0,2,Spain,20.59
305.3,203.5,0,203.5,0,965.4,631,7,1,1,3,Spain,25.89
108.3,162.4,0,203.5,0,938.2,849,90,1,1,2,Spain,29.23
116,173,0,192,0,909.8,891.9,90,1,1,2,Spain,31.02
141.3,212,0,203.5,0,971.8,748.5,7,2,1,2,Spain,10.39
157,236,0,192,0,935.4,781.2,28,2,0,2,Spain,33.66
133,200,0,192,0,927.4,839.2,28,2,0,3,Spain,27.87
250.2,166.8,0,203.5,0,977.6,694.1,7,1,0,3,Spain,19.35
173,116,0,192,0,946.8,856.8,7,1,1,2,Spain,11.39
192,288,0,192,0,929.8,716.1,3,2,1,3,Spain,12.79
192,288,0,192,0,929.8,716.1,28,2,0,2,Spain,39.32
153,102,0,192,0,888,943.1,3,2,1,2,Spain,4.78
288,192,0,192,0,932,717.8,3,2,0,2,Spain,16.11
305.3,203.5,0,203.5,0,965.4,631,28,1,1,3,Spain,43.38
236,157,0,192,0,972.6,749.1,7,2,1,3,Spain,20.42
173,116,0,192,0,946.8,856.8,3,1,0,2,Spain,6.94
212,141.3,0,203.5,0,973.4,750,7,1,0,2,Spain,15.03
236,157,0,192,0,972.6,749.1,3,1,1,2,Spain,13.57
183.9,122.6,0,203.5,0,959.2,800,90,1,0,3,Spain,32.53
166.8,250.2,0,203.5,0,975.6,692.6,7,1,0,2,Spain,15.75
102,153,0,192,0,887,942,7,1,0,2,Spain,7.68
288,192,0,192,0,932,717.8,28,2,0,3,Spain,38.8
212,141.3,0,203.5,0,973.4,750,28,1,0,3,Spain,33
102,153,0,192,0,887,942,28,2,1,2,Spain,17.28
173,116,0,192,0,946.8,856.8,28,1,0,3,Spain,24.28
183.9,122.6,0,203.5,0,959.2,800,28,1,0,2,Spain,24.05
133,200,0,192,0,927.4,839.2,90,2,0,3,Spain,36.59
192,288,0,192,0,929.8,716.1,90,1,1,2,Spain,50.73
133,200,0,192,0,927.4,839.2,7,1,1,2,Spain,13.66
305.3,203.5,0,203.5,0,965.4,631,3,1,1,3,Spain,14.14
236,157,0,192,0,972.6,749.1,90,1,1,3,Spain,47.78
108.3,162.4,0,203.5,0,938.2,849,3,2,1,3,Spain,2.33
157,236,0,192,0,935.4,781.2,7,2,1,3,Spain,16.89
288,192,0,192,0,932,717.8,7,1,1,2,Spain,23.52
212,141.3,0,203.5,0,973.4,750,3,1,0,2,Spain,6.81
212,141.3,0,203.5,0,973.4,750,90,1,0,2,Spain,39.7
153,102,0,192,0,888,943.1,28,1,1,2,Spain,17.96
236,157,0,192,0,972.6,749.1,28,2,1,2,Spain,32.88
116,173,0,192,0,909.8,891.9,28,1,0,3,Spain,22.35
183.9,122.6,0,203.5,0,959.2,800,7,1,0,3,Spain,10.79
108.3,162.4,0,203.5,0,938.2,849,7,1,0,2,Spain,7.72
203.5,305.3,0,203.5,0,963.4,630,28,2,1,3,Spain,41.68
203.5,305.3,0,203.5,0,963.4,630,3,1,0,3,Spain,9.56
133,200,0,192,0,927.4,839.2,3,1,0,2,Spain,6.88
288,192,0,192,0,932,717.8,90,1,1,3,Spain,50.53
200,133,0,192,0,965.4,806.2,7,1,0,2,Spain,17.17
200,133,0,192,0,965.4,806.2,28,1,1,2,Spain,30.44
250.2,166.8,0,203.5,0,977.6,694.1,3,1,0,3,Spain,9.73
122.6,183.9,0,203.5,0,958.2,800.1,3,2,0,2,Spain,3.32
153,102,0,192,0,888,943.1,90,2,0,3,Spain,26.32
